Subject,Grade,Year,Jurisdiction,atabPro
Mathematics,4,2003,Minnesota,41.76715848
Mathematics,4,2005,Minnesota,47.25697763
Mathematics,4,2007,Minnesota,50.5891926
Mathematics,4,2009,Minnesota,53.82213003
Mathematics,4,2011,Minnesota,52.93392623
Mathematics,4,2013,Minnesota,59.40998297
Mathematics,4,2015,Minnesota,53.417025
Mathematics,4,2017,Minnesota,52.5678836
Mathematics,4,2019,Minnesota,52.85281182
Mathematics,4,2003,National public,31.22359726
Mathematics,4,2005,National public,35.32961796
Mathematics,4,2007,National public,38.56314056
Mathematics,4,2009,National public,38.35326501
Mathematics,4,2011,National public,39.67946005
Mathematics,4,2013,National public,41.33169861
Mathematics,4,2015,National public,39.38306114
Mathematics,4,2017,National public,39.54479623
Mathematics,4,2019,National public,40.43617287
Mathematics,8,2003,Minnesota,43.67284104
Mathematics,8,2005,Minnesota,42.74286287
Mathematics,8,2007,Minnesota,43.13342119
Mathematics,8,2009,Minnesota,46.93475381
Mathematics,8,2011,Minnesota,47.60899009
Mathematics,8,2013,Minnesota,47.16316571
Mathematics,8,2015,Minnesota,47.8102856
Mathematics,8,2017,Minnesota,46.37829988
Mathematics,8,2019,Minnesota,44.15987237
Mathematics,8,2003,National public,27.31792139
Mathematics,8,2005,National public,28.45688637
Mathematics,8,2007,National public,30.96074281
Mathematics,8,2009,National public,32.55343494
Mathematics,8,2011,National public,33.54390069
Mathematics,8,2013,National public,34.44110729
Mathematics,8,2015,National public,32.13316358
Mathematics,8,2017,National public,33.4291047
Mathematics,8,2019,National public,32.89981976
Reading,4,2003,Minnesota,37.21175761
Reading,4,2005,Minnesota,38.009081
Reading,4,2007,Minnesota,36.94739157
Reading,4,2009,Minnesota,37.17921571
Reading,4,2011,Minnesota,35.28785573
Reading,4,2013,Minnesota,41.48558925
Reading,4,2015,Minnesota,39.01227219
Reading,4,2017,Minnesota,39.07085585
Reading,4,2019,Minnesota,38.06435297
Reading,4,2003,National public,29.67393003
Reading,4,2005,National public,29.7688221
Reading,4,2007,National public,31.68292897
Reading,4,2009,National public,31.54603616
Reading,4,2011,National public,32.40443294
Reading,4,2013,National public,34.02450348
Reading,4,2015,National public,34.84319667
Reading,4,2017,National public,35.44082463
Reading,4,2019,National public,34.33714568
Reading,8,2003,Minnesota,37.24231664
Reading,8,2005,Minnesota,37.24001611
Reading,8,2007,Minnesota,36.58872712
Reading,8,2009,Minnesota,38.37548212
Reading,8,2011,Minnesota,39.29148133
Reading,8,2013,Minnesota,40.51614728
Reading,8,2015,Minnesota,39.68603267
Reading,8,2017,Minnesota,39.30570759
Reading,8,2019,Minnesota,34.15501179
Reading,8,2003,National public,30.03983898
Reading,8,2005,National public,28.86299542
Reading,8,2007,National public,29.2012644
Reading,8,2009,National public,30.43425825
Reading,8,2011,National public,31.61758708
Reading,8,2013,National public,34.25072575
Reading,8,2015,National public,32.67241488
Reading,8,2017,National public,34.73878284
Reading,8,2019,National public,32.43275389
